gene,cell_type,tier,PP.H4,b,se,pval,fdr,or,or_lci,or_uci,n_drugs,approved_drugs,drug_mechanisms,indications,direction
ORMDL3,CD8 S100B,Tier 2 (Moderate),0.711,-0.383930931946772,0.0937722139088484,4.23458287167823e-05,0.00145585342348467,0.681178473225886,0.566813773383255,0.818618273188308,0,,,,Protective (↑ expression → ↓ MG risk)
ZFP36L1,B IN,Tier 2 (Moderate),0.763,0.41840017906473,0.118581623993072,0.000418122812430651,0.0115945150687886,1.51952863629582,1.20439840828151,1.91711252742153,0,,,,Risk (↑ expression → ↑ MG risk)
EVI2A,NK,Tier 2 (Moderate),0.595,-0.238025235346565,0.0679216921901064,0.000457625835790201,0.012552494947054,0.788182800776668,0.689939233928537,0.90041571328367,0,,,,Protective (↑ expression → ↓ MG risk)
EVI2A,B Mem,Tier 2 (Moderate),0.609,-0.314708673509769,0.0898036950601662,0.000457625835790202,0.012552494947054,0.730001512072416,0.612183064727169,0.870494854125885,0,,,,Protective (↑ expression → ↓ MG risk)
YWHAB,B Mem,Tier 2 (Moderate),0.791,-0.48294097676553,0.139126489541232,0.000518067112545385,0.0141183439646656,0.616966237641798,0.46971511973738,0.81037914768998,0,,,,Protective (↑ expression → ↓ MG risk)
KANSL1-AS1,B Mem,Tier 2 (Moderate),0.509,0.161329050864851,0.0466024399120339,0.000536544747172131,0.0144051837067627,1.17507156351996,1.07249559934551,1.28745813058429,0,,,,Risk (↑ expression → ↑ MG risk)
THEMIS2,DC,Tier 2 (Moderate),0.781,0.273083113084304,0.0810473194092332,0.000753243478399188,0.0196848041963685,1.31400945166475,1.12101033897708,1.54023631988965,0,,,,Risk (↑ expression → ↑ MG risk)
CDK5R1,CD4 NC,Tier 2 (Moderate),0.551,0.222755412022747,0.0664633578637702,0.000803598929377321,0.0206974395437589,1.24951492003106,1.09689913473777,1.42336472510162,0,,,,Risk (↑ expression → ↑ MG risk)
ACAP1,CD4 NC,Tier 2 (Moderate),0.514,-0.472724690255975,0.143357877554126,0.000975446129016106,0.02414149735591,0.623301648575429,0.470619140833308,0.825518793028555,0,,,,Protective (↑ expression → ↓ MG risk)
ACAP1,NK,Tier 2 (Moderate),0.51,-0.55332258989751,0.167799892253367,0.000975446129016106,0.02414149735591,0.57503602389359,0.413867096884263,0.798967666830059,0,,,,Protective (↑ expression → ↓ MG risk)
SPCS1,CD4 NC,Tier 2 (Moderate),0.543,0.295381053180065,0.0904566295088975,0.00109292634724594,0.0263658489995078,1.34363825878087,1.12534095330288,1.60428158698121,0,,,,Risk (↑ expression → ↑ MG risk)
CTSH,CD4 NC,Tier 2 (Moderate),0.669,-0.651505011865893,0.199517464236116,0.00109308271056133,0.0263658489995078,0.521260682608649,0.352551262500876,0.770704087984821,0,,,,Protective (↑ expression → ↓ MG risk)
CTSH,Mono NC,Tier 2 (Moderate),0.622,0.44376140923297,0.13589788180207,0.00109308271056133,0.0263658489995078,1.55855858356957,1.19411050495433,2.03423791042796,0,,,,Risk (↑ expression → ↑ MG risk)
