cell_type,gene,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier
Mono NC,VPS52,8191,2.17e-19,7.7e-14,2.8e-06,0.994,0.00569,Not colocalized
Mono NC,HLA-A,7289,1.02e-39,9.75e-28,1.05e-12,1,1.53e-13,Not colocalized
Mono NC,ZNRD1-AS1,7808,1.79e-35,9.43e-28,1.89e-08,1,4.32e-06,Not colocalized
Mono NC,HSPA1B,10327,1.58e-57,2.97e-26,5.34e-32,1,8.34e-17,Not colocalized
Mono NC,PSMB9,8029,6.98e-21,7.28e-17,9.59e-05,1,4.91e-06,Not colocalized
Mono NC,ZKSCAN8,3638,1.81e-24,1.57e-20,9.26e-05,0.801,0.199,Not colocalized
DC,ZNF322,3704,1.32e-26,5.91e-19,2.11e-10,0.00842,0.992,Tier 1 (Strong)
DC,TYMP,2673,2.92e-09,0.24,3.35e-10,0.0268,0.734,Tier 2 (Moderate)
DC,MICB,8567,2.31e-36,2.87e-26,8.06e-11,1,3.05e-12,Not colocalized
DC,HLA-C,8205,5.03e-34,2.87e-26,1.75e-08,1,1.05e-09,Not colocalized
DC,APOM,9043,7.33e-36,2.83e-26,2.55e-10,0.987,0.0131,Not colocalized
DC,TRIM39,9613,2.51e-54,9.43e-28,2.66e-27,1,8.26e-10,Not colocalized
DC,HLA-B,8444,1.81e-59,2.87e-26,6.31e-34,1,4.7e-24,Not colocalized
DC,B3GALT4,8071,3.47e-20,9.24e-15,3.92e-07,0.103,0.897,Tier 1 (Strong)
DC,TNF,8472,1.47e-37,2.85e-26,5.1e-12,0.992,0.00821,Not colocalized
DC,MDC1,10950,2.9e-41,1.03e-27,2.81e-14,1,1.29e-14,Not colocalized
DC,C6orf136,11101,3.35e-40,1.05e-27,3.2e-13,1,6.3e-11,Not colocalized
DC,XXbac-BPG299F13.17,8143,1e-28,2.85e-26,0.00348,0.992,0.00458,Not colocalized
DC,LY6G5C,9167,1.59e-52,2.87e-26,5.54e-27,1,1.73e-22,Not colocalized
