id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
Mono C|LGALS2,LGALS2,Mono C,Wald ratio,1,-0.00134565808843169,0.0330866346209497,0.967558384185335,0.99558515902905,0.998655246903432,0.935947904213097,1.06556390337371
Mono C|MYO1G,MYO1G,Mono C,Wald ratio,1,0.0560974835709892,0.145048076925891,0.698940582628463,0.939627482355123,1.05770078716086,0.795967640021248,1.40549803649157
Mono C|PVRL2,PVRL2,Mono C,Wald ratio,1,0.195305337958515,0.128846609125984,0.129570623381397,0.645683899910796,1.21568212372357,0.944373045171007,1.56493562951431
Mono C|UCP2,UCP2,Mono C,Wald ratio,1,0.0622132305941966,0.0780385174090489,0.425328006806281,0.858063733950054,1.06418923824046,0.913253059190984,1.24007110996163
Mono C|TREML1,TREML1,Mono C,Wald ratio,1,-0.109167613219039,0.0689402988798454,0.113305399584707,0.611430700315772,0.896580126222103,0.78325998660009,1.02629514655249
Mono C|RP11-245G13.2,RP11-245G13.2,Mono C,Wald ratio,1,-0.316459279087791,0.237947576768173,0.183533500414385,0.701589873865959,0.728724685289544,0.457107571508716,1.16173894297487
Mono C|EIF6,EIF6,Mono C,Wald ratio,1,-0.0206185612922024,0.131706975897311,0.875600502834964,0.979795673128138,0.979592547830985,0.756718290591345,1.26810937662959
Mono C|RP11-290F20.3,RP11-290F20.3,Mono C,Wald ratio,1,0.127329465655565,0.12906131431329,0.323847992965793,0.818959507313726,1.13579116032376,0.881940478101305,1.4627081893858
Mono C|C20orf27,C20orf27,Mono C,Wald ratio,1,0.157480759489486,0.116384975989611,0.176023003704892,0.690701458021611,1.17055823562698,0.931803062038938,1.47048946157777
Mono C|NUDT2,NUDT2,Mono C,Wald ratio,1,0.0894429024641187,0.118202804382905,0.449235493632222,0.869430548936239,1.0935648916691,0.867417741507866,1.37867156165424
Mono C|FADS2,FADS2,Mono C,Wald ratio,1,0.149151561998703,0.12287217963427,0.224795165727386,0.754747533891595,1.16084891645878,0.912398976732511,1.47695278185147
Mono C|METTL22,METTL22,Mono C,Wald ratio,1,0.086829379194132,0.17097261264587,0.611554694597882,0.920942403918084,1.09071056592556,0.780143859075919,1.5249104697572
Mono C|IGFLR1,IGFLR1,Mono C,Wald ratio,1,0.17169011449357,0.143797116844414,0.2324878783104,0.759622239248492,1.18730984608697,0.895697768795722,1.57386198752111
Mono C|CNN2,CNN2,Mono C,Wald ratio,1,0.452942344760394,0.159091624085258,0.00441259637543675,0.0842384604536896,1.57293349604221,1.15156600733959,2.14848282009245
Mono C|SCML4,SCML4,Mono C,Wald ratio,1,-0.288613144599772,0.208297806624651,0.165875379881414,0.676500878335471,0.749302020873892,0.498138640768827,1.12710292383492
Mono C|AP003774.1,AP003774.1,Mono C,Wald ratio,1,0.0973600715044181,0.0982400446201895,0.321664768030816,0.818959507313726,1.10225719358089,0.909199791841044,1.33630796190639
Mono C|RPS16,RPS16,Mono C,Wald ratio,1,0.0956117446355018,0.0564455767119423,0.0902890607367629,0.578527739034747,1.10033177133706,0.985090675482161,1.22905437757916
Mono C|LAP3,LAP3,Mono C,Wald ratio,1,-0.0885005282091902,0.0852610712886075,0.299272587568469,0.800973636679616,0.91530262726461,0.774442217632492,1.08178361200224
Mono C|TMEM176A,TMEM176A,Mono C,Wald ratio,1,-0.0295228448161041,0.0296567156604602,0.319499957036266,0.818959507313726,0.9709086971572,0.91608144224675,1.02901735014252
Mono C|TMEM176B,TMEM176B,Mono C,Wald ratio,1,-0.0279091454954006,0.0280356990472686,0.319499957036266,0.818959507313726,0.972476716678022,0.920480819447658,1.0274097455375
Mono C|NOP10,NOP10,Mono C,Wald ratio,1,-0.00853799820933376,0.0645319005001372,0.894741764396479,0.980311388381588,0.99149834698542,0.873697980434724,1.12518169217431
Mono C|LTA4H,LTA4H,Mono C,Wald ratio,1,0.129490864634407,0.139370340251845,0.352830268874501,0.83279232243638,1.13824871309716,0.866169205355118,1.49579334483054
Mono C|SERPINB10,SERPINB10,Mono C,Wald ratio,1,-0.131495321699512,0.0916712578183932,0.151451709215953,0.664777635252925,0.876783376984302,0.732588602014982,1.04935988362576
