gene,cell_type,nsnps,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,tier,b,se,pval,fdr,or,or_lci,or_uci
KANSL1-AS1,CD8 S100B,3347,1.81e-87,0.158,5.91e-87,0.517,0.324,Not colocalized,0.154839271144132,0.0459575409669376,0.000753919192043067,0.0196848041963685,1.16747029985868,1.06690559444742,1.27751406323636
KANSL1-AS1,DC,3347,2.33e-15,0.177,7.6e-15,0.578,0.245,Not colocalized,0.312487773026354,0.0942165828781896,0.00091088637882078,0.0229169361135109,1.36682122898448,1.13635215809799,1.64403284553057
KANSL1-AS1,Mono C,3347,1.24e-33,0.177,4.04e-33,0.578,0.245,Not colocalized,0.218039571569099,0.0657399909331253,0.000910886378820782,0.0229169361135109,1.24363627928432,1.09328747509779,1.41466103872983
KANSL1-AS1,NK R,3347,7.41e-21,0.176,2.42e-20,0.575,0.248,Not colocalized,0.267786129232373,0.0807388199356003,0.000910886378820782,0.0229169361135109,1.30706756657591,1.11576251614238,1.53117316532674
KANSL1-AS1,Plasma,3347,3.53e-08,0.177,1.15e-07,0.578,0.244,Not colocalized,-0.336986697970343,0.101603127862199,0.00091088637882078,0.0229169361135109,0.713918336402442,0.585008542916843,0.871234099437894
KB-1980E6.3,CD8 ET,4121,5.32e-07,0.00748,1.62e-07,0.00129,0.991,Tier 1 (Strong),-0.8345319053733,0.194926291591764,1.8583049144398e-05,0.000656716313484355,0.434077623287508,0.296239379521118,0.636051099430215
KISS1R,CD4 ET,3319,2.05e-05,0.0181,3.41e-05,0.0291,0.953,Tier 1 (Strong),0.498398426789068,0.131734738419404,0.000154732514224278,0.00474055501240349,1.64608283626761,1.27150131423198,2.13101526009155
KISS1R,CD4 NC,3319,3.31e-16,0.138,5.5e-16,0.229,0.633,Tier 2 (Moderate),0.305236970465642,0.0960267994815196,0.00147955279618232,0.0341691250619857,1.35694652115854,1.12414690741925,1.63795661326099
KISS1R,CD8 NC,3319,6.78e-08,0.037,1.13e-07,0.0606,0.902,Tier 1 (Strong),0.422654368518242,0.105892626024959,6.56986670432357e-05,0.00217034118345437,1.52600676882603,1.23999186797321,1.87799349225504
LINC00240,CD8 ET,3346,4.98e-27,2.84e-18,9.39e-11,0.0528,0.947,Tier 1 (Strong),-1.84928027689654,0.192623656454867,7.9570113793852e-22,2.01524574868563e-19,0.15735037426925,0.107870629644067,0.229526242355021
LINC00336,CD4 NC,7121,1.89e-16,1.06e-10,1.78e-06,1,1.81e-06,Not colocalized,0.441435487431196,0.129941074171018,0.000680798213790225,0.0180233617713524,1.5549377107466,1.20532709959951,2.00595447086958
LRRC37A2,CD8 NC,3560,1.24e-08,0.186,3.69e-08,0.553,0.261,Not colocalized,0.385243425726818,0.121656123188012,0.00154201159806044,0.0352897714519977,1.46997210692081,1.15811933240586,1.86579908880059
LST1,CD4 NC,8464,3.68e-35,2.87e-26,1.28e-09,1,6.38e-11,Not colocalized,-0.597220560828227,0.112704549673094,1.16443431461397e-07,5.39473897709572e-06,0.550339146481043,0.441259792570086,0.686382900162781
LST1,Mono NC,8464,1.02e-33,2.87e-26,3.54e-08,1,1.42e-09,Not colocalized,-0.613446216274178,0.115766576184121,1.16443431461397e-07,5.39473897709572e-06,0.541481587291586,0.431560009798114,0.679401016588579
LTA,CD4 SOX4,8477,2.23e-98,2.87e-26,7.78e-73,1,1.14e-17,Not colocalized,-0.408746412363597,0.058112082935941,2.0104161246318e-12,1.27292847624604e-10,0.664482715559951,0.592949469697357,0.744645710710035
LTA,NK R,8477,1.42e-35,2.87e-26,4.94e-10,1,1.98e-11,Not colocalized,-0.474974811841274,0.123885759394935,0.000126089345299013,0.00405943578636399,0.621900720801809,0.487828728824511,0.792820274168273
LY6G5B,NK,9114,4.01e-31,2.87e-26,1.4e-05,1,5.16e-06,Not colocalized,0.423609103466836,0.127604843978272,0.000901159932015521,0.0229169361135109,1.52746439653336,1.18946497986144,1.9615100252458
LY6G5C,B IN,9167,7.03e-47,2.87e-26,2.45e-21,1,0.000491,Not colocalized,-0.472511435107009,0.0691327867170363,8.20974401261872e-12,4.99021080063016e-10,0.623434585035535,0.54443228993806,0.713900863342711
LY6G5C,DC,9167,1.59e-52,2.87e-26,5.54e-27,1,1.73e-22,Not colocalized,-0.351177511191899,0.065913360208753,9.93737208766856e-08,4.66075019272258e-06,0.703858799951083,0.618555908709926,0.800925515854874
LY6G5C,Mono NC,9167,3.95e-42,2.87e-26,1.38e-16,1,4.58e-05,Not colocalized,-0.897081938617834,0.0916469538847361,1.2621157230226e-22,3.4248411655449e-20,0.407757787635829,0.340714645673358,0.487993150541186
