id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD8 NC|HIST1H2BL,HIST1H2BL,CD8 NC,Wald ratio,1,0.545381556492312,0.0676625839907958,7.60997926458899e-16,6.21727123143527e-14,1.72526654345626,1.51098671622239,1.96993435747148
CD8 ET|CFD,CFD,CD8 ET,Wald ratio,1,0.220807866114471,0.0578971150926753,0.000136847676239799,0.00424480824707939,1.24708380048811,1.11330104959781,1.39694290776219
CD8 ET|R3HDM4,R3HDM4,CD8 ET,Wald ratio,1,0.261431692768863,0.0693574781452093,0.000163681911665911,0.00493513954300632,1.29878822191458,1.13370500593464,1.48790985005255
CD8 ET|MED16,MED16,CD8 ET,Wald ratio,1,0.204942380384057,0.054370939184797,0.00016368191166591,0.00493513954300632,1.22745433747804,1.10337684840138,1.36548465084847
CD8 ET|PNMT,PNMT,CD8 ET,Wald ratio,1,0.353510696387864,0.0784610762720696,6.61996817403962e-06,0.000267121976813497,1.42405821914896,1.22106934471542,1.66079168255454
CD8 ET|XXbac-BPG252P9.10,XXbac-BPG252P9.10,CD8 ET,Wald ratio,1,1.53213479854158,0.156524706587542,1.2621157230226e-22,3.4248411655449e-20,4.62804623029547,3.40534540038449,6.28976194524459
CD8 ET|HIST1H4I,HIST1H4I,CD8 ET,Wald ratio,1,-0.929976885746951,0.0980452527594409,2.41964752803932e-21,5.10680053278975e-19,0.394562830291304,0.32558048532499,0.478160805283175
CD8 ET|HCG14,HCG14,CD8 ET,Wald ratio,1,-0.264144101782366,0.0531155769624211,6.59224991622847e-07,2.92911782827508e-05,0.767862881274059,0.691943736276556,0.852111773727861
CD8 ET|KB-1980E6.3,KB-1980E6.3,CD8 ET,Wald ratio,1,-0.8345319053733,0.194926291591764,1.8583049144398e-05,0.000656716313484355,0.434077623287508,0.296239379521118,0.636051099430215
CD8 ET|C6orf47-AS1,C6orf47-AS1,CD8 ET,Wald ratio,1,-0.306463845738699,0.050545734758184,1.33522566151211e-09,6.71857256699933e-08,0.736045128866231,0.666621083054087,0.812699216240885
CD8 ET|C19orf83,C19orf83,CD8 ET,Wald ratio,1,-0.171858681676953,0.0545727160983028,0.00163735724117915,0.0361175596163262,0.842098168661216,0.756675180686413,0.937164775272914
CD8 ET|RP11-669E14.6,RP11-669E14.6,CD8 ET,Wald ratio,1,0.341832226831052,0.103317030977676,0.000937718022606337,0.0234367813676413,1.40752413291946,1.14950434614553,1.7234594992126
CD8 ET|HLA-B,HLA-B,CD8 ET,Wald ratio,1,-0.171126605179505,0.0387781707662313,1.0196576331094e-05,0.00037426853605629,0.842714874649474,0.781037730444302,0.909262551953145
CD8 ET|EVI2A,EVI2A,CD8 ET,Wald ratio,1,-0.247576763159986,0.0774966237370715,0.00139986904002726,0.0326263956016168,0.780690290257076,0.670675312116021,0.908751698908879
CD8 ET|PGBD1,PGBD1,CD8 ET,Wald ratio,1,2.04356581807832,0.197936451485923,5.46861768112505e-25,2.18687142848359e-22,7.71808146363353,5.23627502874208,11.3761750771891
CD8 ET|SLC44A4,SLC44A4,CD8 ET,Wald ratio,1,-2.27976192318611,0.230561192654326,4.69862215664157e-23,1.42800524584651e-20,0.102308561112577,0.0651109942988061,0.160756901190769
CD8 ET|POU5F1,POU5F1,CD8 ET,Wald ratio,1,-0.238520982415245,0.0635433111108528,0.000174260291246941,0.00519227330546767,0.78779215830153,0.695540615204728,0.892279287671373
CD8 ET|RNASEH2C,RNASEH2C,CD8 ET,Wald ratio,1,0.264230493902291,0.0867743360467847,0.00232656767925192,0.0485639044696595,1.30242836350217,1.0987276134532,1.54389461162586
CD8 ET|HIST1H2AH,HIST1H2AH,CD8 ET,Wald ratio,1,2.15200952085673,0.229560412635049,6.9517519971098e-21,1.3899845177379e-18,8.60212719437195,5.48529629873386,13.4899900093334
CD8 ET|HIST1H3H,HIST1H3H,CD8 ET,Wald ratio,1,-2.22530093981322,0.239539534271165,1.54417480713398e-20,2.66650913286454e-18,0.108034901739109,0.0675559978680513,0.172768375305115
CD8 ET|HIST1H2BM,HIST1H2BM,CD8 ET,Wald ratio,1,-0.515137416756423,0.104875222840736,9.01945023423164e-07,3.91598759312526e-05,0.597418493665717,0.486415124748746,0.733753615819764
CD8 ET|BTN2A1,BTN2A1,CD8 ET,Wald ratio,1,0.744163375381816,0.143948300901766,2.34523741984023e-07,1.06701280933809e-05,2.10467987120602,1.58728451758035,2.79072674822808
CD8 ET|TNFRSF14,TNFRSF14,CD8 ET,Wald ratio,1,-0.500601042561217,0.116992881182847,1.87817750253766e-05,0.000660666327050052,0.606166218504773,0.48195376648894,0.762391561193056
CD8 ET|HIST1H4F,HIST1H4F,CD8 ET,Wald ratio,1,1.23928475061983,0.136994816346011,1.48008011236595e-19,2.12182050825594e-17,3.45314272307747,2.63998942265903,4.51675850046878
