gene,logFC,logCPM,F,PValue,FDR,cell_type,scenario,omitted_donor,omitted_group,passes_primary_threshold
RARS,-0.319641958589402,5.25996611423888,0.76807843022342,0.394373441579969,0.637133528353137,CD8_NC,Full,,Full,FALSE
PANK3,-0.600088128324035,4.95986273602055,2.73726303567649,0.118280630904183,0.343817505290558,CD8_NC,Full,,Full,FALSE
DOCK2,-0.237467780793222,6.71331815540203,1.00638777656236,0.331334793140357,0.582673435895223,CD8_NC,Full,,Full,FALSE
LCP2,-0.260551497200568,7.61779058283905,1.16985236301816,0.296135089884135,0.551130763279146,CD8_NC,Full,,Full,FALSE
NPM1,0.228072630799986,10.0955736686926,1.17030033072178,0.296042719314485,0.551118691569785,CD8_NC,Full,,Full,FALSE
FBXW11,-0.567734132912353,5.13711728320486,2.59169253533153,0.127820420702278,0.358319001171481,CD8_NC,Full,,Full,FALSE
STK10,-0.928373079061546,7.13142170566389,11.0425821144829,0.00451701939780481,0.0652190562107332,CD8_NC,Full,,Full,TRUE
DUSP1,4.7287069123151,7.52596401059473,43.3761549597448,5.85885370939265e-05,0.00854460551208469,CD8_NC,Full,,Full,TRUE
ERGIC1,-1.24186160738794,5.25624327359806,8.94571703109385,0.00890754122440422,0.0872462165819916,CD8_NC,Full,,Full,TRUE
RPL26L1,0.747690155834046,4.87815817811131,4.87812999946868,0.0428695953840777,0.195224831904542,CD8_NC,Full,,Full,TRUE
ATP6V0E1,0.320858342936444,8.28252636286634,1.78743859047061,0.200717443104002,0.452884610547953,CD8_NC,Full,,Full,FALSE
CREBRF,-0.250796621985819,6.38052043041547,0.723855559942835,0.407976994664831,0.649302672312554,CD8_NC,Full,,Full,FALSE
BNIP1,-0.425163967278979,4.29857462584816,0.61277931064518,0.445334639696166,0.677759255107017,CD8_NC,Full,,Full,FALSE
BOD1,0.260560781354068,5.14406101773197,0.529702273828722,0.477735700927945,0.702159870099547,CD8_NC,Full,,Full,FALSE
CPEB4,0.104974062087718,4.51365710781917,0.0440973700251613,0.836426115444178,0.922764361729691,CD8_NC,Full,,Full,FALSE
SFXN1,-0.317521664811089,6.15305147043449,1.66512740240474,0.216054553933582,0.471411789388574,CD8_NC,Full,,Full,FALSE
HRH2,-0.555782447798772,5.38646843061205,2.41763114695103,0.14042712523164,0.377177999834809,CD8_NC,Full,,Full,FALSE
THOC3,-1.54382918475713,4.77109642302736,15.1874723648108,0.00126276288207373,0.0374768844413241,CD8_NC,Full,,Full,TRUE
KIAA1191,-0.290925414653854,5.22157017759603,0.625490930103618,0.441109088975859,0.675400601928298,CD8_NC,Full,,Full,FALSE
NOP16,1.0043437206463,5.22978664105156,7.60799518158915,0.0144373771031992,0.109250765178337,CD8_NC,Full,,Full,TRUE
HIGD2A,0.487014693598202,7.86246721007602,2.83253023986335,0.11259849770722,0.335178402537073,CD8_NC,Full,,Full,FALSE
CLTB,-0.133006258082522,5.96212286774052,0.244346799182205,0.628101036173782,0.802893296638877,CD8_NC,Full,,Full,FALSE
FAF2,-0.445655104797449,4.64931073334583,1.26021948323854,0.278704834548247,0.534663355245471,CD8_NC,Full,,Full,FALSE
RNF44,-0.610318542132659,7.60836677046456,7.23500841551676,0.0165474501151739,0.118114557718655,CD8_NC,Full,,Full,TRUE
UIMC1,0.479717975853691,5.10766733162675,1.96139121531719,0.181339488766246,0.428856962316692,CD8_NC,Full,,Full,FALSE
NSD1,-0.177427206038689,5.82801484985592,0.203776215002465,0.658022021762197,0.822379807487523,CD8_NC,Full,,Full,FALSE
PRELID1,0.278828073943537,7.24351657426335,0.968544894675518,0.340306088100245,0.591159763762662,CD8_NC,Full,,Full,FALSE
LMAN2,-0.375817624131776,6.72334437175875,2.70857270316286,0.120145091063122,0.346161942086434,CD8_NC,Full,,Full,FALSE
RGS14,-0.386346276846262,6.04885606960636,2.34351831166641,0.146207628771985,0.386414478513108,CD8_NC,Full,,Full,FALSE
GRK6,-0.597621456823808,6.81264571330931,3.13644344932987,0.0964293107980773,0.308314343493404,CD8_NC,Full,,Full,FALSE
PRR7,0.535826836946722,4.7849540940731,2.26274088052958,0.152897615332416,0.394248792003732,CD8_NC,Full,,Full,FALSE
DBN1,-1.8235624533495,4.60220679353464,10.3997843858485,0.0050122257065769,0.0682875846265476,CD8_NC,Full,,Full,TRUE
DDX41,-0.154619016316707,4.80973153282255,0.160868439891771,0.693886821717755,0.845711630572238,CD8_NC,Full,,Full,FALSE
FAM193B,0.880464949582058,4.59805536863927,5.17535947107567,0.0377205354245526,0.183930604725953,CD8_NC,Full,,Full,TRUE
TMED9,-0.195140183747253,6.22394507116653,0.549246254138022,0.469832378876155,0.696285075115077,CD8_NC,Full,,Full,FALSE
AC106795.1,-1.03161044345703,5.06581582616699,7.6882758946692,0.0139057501287797,0.108292716718907,CD8_NC,Full,,Full,TRUE
NHP2,0.701977293841559,6.97096533637619,4.54240418385898,0.0496198998350645,0.211428218619926,CD8_NC,Full,,Full,TRUE
HNRNPAB,-0.54977314183309,5.94662920433467,2.58456830359863,0.128352266549226,0.358711353196815,CD8_NC,Full,,Full,FALSE
PHYKPL,-0.342936889320261,5.9163467026402,1.16648542600049,0.296855305945145,0.551633402064424,CD8_NC,Full,,Full,FALSE
CLK4,-0.0169273937020221,5.8751901156658,0.00310069218638939,0.956313877620938,0.979359424304749,CD8_NC,Full,,Full,FALSE
ZNF354B,0.062295028536867,4.73285903626194,0.0145653456891905,0.905506155649718,0.956850155809152,CD8_NC,Full,,Full,FALSE
RUFY1,0.445045486573709,5.08114513132341,1.18029234805311,0.29413605871177,0.549474045295408,CD8_NC,Full,,Full,FALSE
HNRNPH1,0.0520695332404996,7.96122767502817,0.0611576270901372,0.807953182480306,0.90456317688276,CD8_NC,Full,,Full,FALSE
CANX,-0.00661003319341002,7.4357699787622,0.000517069785569002,0.982151368071977,0.990953668068848,CD8_NC,Full,,Full,FALSE
MAML1,-0.593841846447335,4.72768759940619,1.94019056481358,0.183301863925953,0.431117038067847,CD8_NC,Full,,Full,FALSE
SQSTM1,-0.257228900051475,6.67031542356345,0.957254852271675,0.34306153752374,0.593792619876913,CD8_NC,Full,,Full,FALSE
MRNIP,-0.709163125618426,4.95102696243094,2.59769360730959,0.127292503158869,0.357477458542871,CD8_NC,Full,,Full,FALSE
TBC1D9B,-0.209552215540175,5.00107319477919,0.372037713442644,0.550841010253129,0.756326994454359,CD8_NC,Full,,Full,FALSE
RNF130,0.885566130186763,5.29162924273572,8.94885330364207,0.0089722466767091,0.087254943560991,CD8_NC,Full,,Full,TRUE
MAPK9,-0.507952796291819,4.47603944661978,1.17450819316364,0.294891448945643,0.549907439025077,CD8_NC,Full,,Full,FALSE
CNOT6,-0.302679752146191,4.68431079706197,0.610439329620226,0.446446830700577,0.678552655756894,CD8_NC,Full,,Full,FALSE
MGAT1,-0.660451284730992,6.3762758836284,4.94468355205997,0.0416120096320886,0.193776680558137,CD8_NC,Full,,Full,TRUE
HEIH,0.248215357204832,5.33663788074479,0.376145276118857,0.548690536694818,0.754636187290032,CD8_NC,Full,,Full,FALSE
ZFP62,-0.141411497654905,5.03572444952182,0.116100027800689,0.737936910055306,0.865268580063807,CD8_NC,Full,,Full,FALSE
TRIM41,-0.758549267105117,4.80892613089983,1.41365193829743,0.252319281195363,0.507554551082273,CD8_NC,Full,,Full,FALSE
RACK1,0.623369819216371,10.8734957093175,7.44367775401796,0.0153051628322305,0.112629850796357,CD8_NC,Full,,Full,TRUE
TRIM52,-0.831561887971616,6.30597325431061,6.40726748065508,0.0227774028260096,0.14040955769423,CD8_NC,Full,,Full,TRUE
TRIM52-AS1,1.29788087750211,5.11800523258949,11.6887923055164,0.00371536311189919,0.0592513593521899,CD8_NC,Full,,Full,TRUE
DUSP22,-0.017675163734769,5.11509525446924,0.00267075058216924,0.959453492078421,0.981079038838528,CD8_NC,Full,,Full,FALSE
WRNIP1,-1.36280095901762,5.10964144302839,8.89921817295097,0.00897432824348407,0.087254943560991,CD8_NC,Full,,Full,TRUE
SERPINB1,0.225300894182949,7.09860241746029,0.825055954752572,0.377750785306832,0.623439886755974,CD8_NC,Full,,Full,FALSE
SERPINB9,-0.595923132717804,5.82063961999002,2.48068738417222,0.135716360787986,0.370277162915182,CD8_NC,Full,,Full,FALSE
SERPINB6,0.0682097432221679,5.76610278433845,0.0154500079932815,0.902939774400696,0.956744214627015,CD8_NC,Full,,Full,FALSE
NQO2,1.46069341297322,4.46778116297957,9.69705516676631,0.00698683737865559,0.0804585591280686,CD8_NC,Full,,Full,TRUE
RIPK1,-1.04641462462116,5.35392667754212,6.57659436981532,0.0212769336464705,0.13531623707572,CD8_NC,Full,,Full,TRUE
PSMG4,1.04870962191585,5.41382515752452,10.0104153456789,0.00628832099856354,0.0768612492338709,CD8_NC,Full,,Full,TRUE
PRPF4B,-0.419664847518,7.4764347503656,3.46423566187106,0.0819766350867536,0.282212482484816,CD8_NC,Full,,Full,FALSE
ECI2,0.428747419626202,6.12391774118403,1.49411707337552,0.240038579249423,0.493892698982619,CD8_NC,Full,,Full,FALSE
CDYL,-0.813543284573782,4.65656538222779,2.77505277705515,0.115612373463657,0.340228773416269,CD8_NC,Full,,Full,FALSE
LYRM4,0.728166960812867,5.19460827006318,4.89460559726738,0.0425528850619273,0.194782421228347,CD8_NC,Full,,Full,TRUE
LY86,2.24186338976266,4.10315966952457,20.7367247709751,0.000365931076049518,0.0227978613107744,CD8_NC,Full,,Full,TRUE
RREB1,-0.778711980330475,4.62042191715983,2.10889560369311,0.166171916829347,0.411782398412845,CD8_NC,Full,,Full,FALSE
SSR1,-0.193388282396114,6.78359581379013,0.612288477912949,0.445839499387992,0.67822983797676,CD8_NC,Full,,Full,FALSE
RIOK1,-0.269586170658943,4.95328125269475,0.494062798821083,0.492658263623632,0.71266638360524,CD8_NC,Full,,Full,FALSE
SNRNP48,-0.15886403467976,4.61355916526284,0.126327441293998,0.727085533145152,0.862480171438096,CD8_NC,Full,,Full,FALSE
EEF1E1,0.159320750998984,5.59709493228513,0.201711049439368,0.65964016158647,0.822563334026502,CD8_NC,Full,,Full,FALSE
PAK1IP1,0.438429734032193,4.75320227970291,0.847231069632191,0.371627322606569,0.618097666242183,CD8_NC,Full,,Full,FALSE
TMEM14C,0.340240934718311,6.06131354679119,1.35305903815197,0.262534020016364,0.518656134260926,CD8_NC,Full,,Full,FALSE
TMEM14B,0.639260988297018,7.39535255852823,5.49724593462034,0.0328802779134924,0.171678391676876,CD8_NC,Full,,Full,TRUE
NEDD9,-0.400861889965278,4.61204490697382,0.972381054639166,0.339230719896289,0.59056017327394,CD8_NC,Full,,Full,FALSE
HIVEP1,0.0214710856650247,4.49169706904601,0.00285041138712417,0.958106997321603,0.98041342717473,CD8_NC,Full,,Full,FALSE
RPL15P3,-0.143293671806041,6.72572318828376,0.205836291509117,0.656403422387261,0.821400304496696,CD8_NC,Full,,Full,FALSE
NOL7,0.537990109335158,7.19398304684852,5.99592030444562,0.0267978404269518,0.153648381947593,CD8_NC,Full,,Full,TRUE
RANBP9,0.0811128799637768,4.73086029979342,0.0504966525382647,0.825168713478922,0.915633345044829,CD8_NC,Full,,Full,FALSE
