cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label
CD4_NC,HALLMARK_NOTCH_SIGNALING,0.329621380846325,0.422591513905545,0.109684061970549,-0.382762676746846,-1.08318726386298,19,NOTCH1|ARRB1|DTX2|CUL1|DTX1|NOTCH2|FBXW11,0.422591513905545,0.451536138145651,Evaluated,NOTCH SIGNALING
CD4_NC,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.18986215798961e-15,5.47465539497403e-14,1.00731795687447,0.550614709918929,2.34970843259259,196,UQCRFS1|GPX4|NDUFS7|COX5A|CYCS|COX7B|NDUFA4|ATP5F1C|NDUFA2|NDUFB6|MRPS15|ATP6V0B|COX7A2|ATP5PF|TCIRG1|UQCRB|TIMM9|ATP5F1D|UQCRQ|NDUFA1|NDUFS8|BAX|NDUFS6|TIMM50|UQCRH|ATP5F1E|MRPL34|MPC1|COX7A2L|MRPS11|NDUFB4|CYC1|ATP5MC3|NDUFB7|RHOT2|ACADVL|TOMM22|COX6C|NDUFA6|ATP6V1G1|NDUFA5|ATP5MC1|SLC25A4|ATP5MC2|COX6A1|MRPL11|VDAC3|MRPS30|SUCLG1|NDUFB2|ATP5MG|COX17|NQO2|NDUFB3|PHB2|ATP6V1F|MTX2|MGST3|UQCR10|NDUFS4|DECR1|VDAC1|NDUFAB1|COX5B|ISCA1|SDHC|TIMM10|ATP5PD|MDH2|ETFB|PHYH|COX6B1|ATP6V0E1|COX8A|CYB5A|HSD17B10|ETFA|COX7C|NDUFA3|COX4I1|TIMM13|IDH3G|LDHA|COX11|GRPEL1|MDH1|SDHB|SURF1|MRPS12|VDAC2|NDUFA8|ATP5PB|ACAA2|MRPS22|POLR2F|NDUFC1|FXN|NDUFB1|NDUFV1|UQCRC2,5.47465539497403e-14,7.29954052663204e-14,Evaluated,OXIDATIVE PHOSPHORYLATION
CD4_NC,HALLMARK_P53_PATHWAY,7.12498090647141e-06,8.90622613308926e-05,0.610526878385931,0.432369379749558,1.79610668326817,158,SAT1|FOS|MXD1|PVT1|CDKN1A|RPS27L|CTSD|GADD45A|IER3|NINJ1|DDIT3|KLF4|ATF3|PLK2|HBEGF|S100A4|IFI30|HINT1|JUN|CGRRF1|PLXNB2|RPS12|BAX|TPRKB|S100A10|BTG2|NUDT15|HMOX1|DRAM1|CDKN2A|RNF19B|ADA|PPP1R15A|UPP1|PMM1|RXRA|ZNF365|FAM162A|TRIAP1|DNTTIP2|RAD51C|CD82|CEBPA|RACK1|ZMAT3|RPL36|EPS8L2|SLC3A2|EI24|F2R|DDIT4|DCXR|TOB1,8.90622613308926e-05,0.00010178544152102,Evaluated,P53 PATHWAY
CD4_NC,HALLMARK_PANCREAS_BETA_CELLS,0.144212523719165,0.200295171832174,0.159646701919906,0.502765356572023,1.28678453730339,14,SPCS1|SEC11A|SRP14|MAFB,0.200295171832174,0.222705746832203,Evaluated,PANCREAS BETA CELLS
CD4_NC,HALLMARK_PEROXISOME,0.962003454231434,0.962003454231434,0.0407403526717903,0.193314608852531,0.728985953543677,80,FIS1|GSTK1|TSPO|ERCC1|SLC25A4|PRDX5|HSD17B11|PEX2|SOD2|SOD1|ITGB1BP1,0.962003454231434,0.962003454231434,Evaluated,PEROXISOME
CD4_NC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.115942028985507,0.188842796111696,0.204294756516886,-0.311870229438331,-1.23187850079167,89,PLCG1|RPS6KA1|CALR|PTEN|CLTC|TNFRSF1A|EIF4E|TIAM1|RIPK1|MYD88|TRIB3|RPTOR|MAP3K7|PRKCB|MKNK2|PIKFYVE|LCK|SLC2A1|SLA|FASLG|PAK4|NOD1|DAPP1|MAPK1|MAP2K3|CAB39|ATF1|ACTR3|TSC2|RAF1|STAT2|GSK3B|PRKAR2A,0.188842796111696,0.201296348484238,Evaluated,PI3K AKT MTOR SIGNALING
CD4_NC,HALLMARK_PROTEIN_SECRETION,0.93398533007335,0.953046255176887,0.0580983576873206,-0.192816895374629,-0.758789773546999,88,COPB2|ARFGEF2|IGF2R|AP2B1|NAPA|ADAM10|CLTC|ARFGEF1|CLCN3|SEC24D|GBF1|ATP1A1|ARCN1,0.953046255176887,0.943419525326616,Evaluated,PROTEIN SECRETION
CD4_NC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.00109183208515986,0.00600377391172249,0.45505986738723,0.525022572253557,1.7789247722909,46,GPX4|FTL|JUNB|TXN|PDLIM1|CDKN2D|ATOX1|MGST1|GLRX|NDUFB4|MSRA|LAMTOR5|PRNP|NDUFA6|SOD2|SOD1|HHEX|TXNRD2|SELENOS|PRDX6,0.00600377391172249,0.00692490562180769,Evaluated,REACTIVE OXYGEN SPECIES PATHWAY
CD4_NC,HALLMARK_SPERMATOGENESIS,0.860670194003527,0.915606589365455,0.046788296531803,0.220571446051471,0.775545432959969,54,ARL4A|VDAC3|PARP2|PHKG2|TALDO1|CDKN3|PEBP1|RPL39L|RAD17|IFT88|MLF1|RFC4|PCSK1N|ACRBP,0.915606589365455,0.887288859797451,Evaluated,SPERMATOGENESIS
CD4_NC,HALLMARK_TGF_BETA_SIGNALING,0.135254988913526,0.193221412733608,0.179782316298324,-0.366914306485983,-1.27034131522654,43,ID3|SPTBN1|CTNNB1|SMAD3|PPM1A|TGFB1|HIPK2|NCOR2|ACVR1|HDAC1|TGFBR1|MAP3K7,0.193221412733608,0.214690458592898,Evaluated,TGF BETA SIGNALING
