cell_type,pathway,pval,padj,log2err,ES,NES,size,leadingEdge,FDR_within_celltype,FDR_across_all_evaluable_tests,test_status,pathway_label,significance,cell_label,pathway_factor
CD8_NC,HALLMARK_HEDGEHOG_SIGNALING,0.0631578947368421,0.121457489878543,0.261663521711573,-0.71931326318795,-1.47869352083712,7,MYH9|LDB1|PML|TLE3|NF1,0.121457489878543,0.121457489878543,Evaluated,Hedgehog Signaling,FALSE,CD8 NC,Hedgehog Signaling
CD8_NC,HALLMARK_HEME_METABOLISM,0.112637362637363,0.208587708587709,0.222056046145248,-0.314278046211036,-1.21599170516696,92,NEK7|ADD1|RBM38|TOP1|SLC10A3|XPO7|TRAK2|HDGF|MKRN1|RNF19A|RBM5|CDC27|SDCBP|LPIN2|KDM7A|AQP3|ADIPOR1|FOXJ2|GAPVD1|EZH1|EPB41|DCAF11|LRP10|VEZF1|NARF|SYNJ1|HAGH|ALAD|CDR2|ACSL6|FBXO34|NFE2L1|SLC25A37,0.208587708587709,0.201138147566719,Evaluated,Heme Metabolism,FALSE,CD8 NC,Heme Metabolism
CD8_NC,HALLMARK_IL2_STAT5_SIGNALING,0.377235772357724,0.483635605586825,0.083129129135339,0.300197093209933,1.04137651494428,82,NFKBIZ|IFITM3|GPX4|GADD45B|KLF6|GSTO1|PRAF2|ICOS|CAPG|CTSZ|CD48|PRNP|GLIPR2|CST7|ODC1|SLC2A3,0.483635605586825,0.477513635895853,Evaluated,Il2 Stat5 Signaling,FALSE,CD8 NC,Il2 Stat5 Signaling
CD8_NC,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.368831168831169,0.483635605586825,0.112378519110475,-0.284828631571243,-1.04424531074894,67,TRIM26|PARP12|ADAR|IRF2|DDX60|TRAFD1|OGFR|UBA7|PARP9|IFI44|TRIM25|MX1|MOV10|IFIH1|TMEM140|PARP14|CNP,0.483635605586825,0.472860472860473,Evaluated,Interferon Alpha Response,FALSE,CD8 NC,Interferon Alpha Response
CD8_NC,HALLMARK_KRAS_SIGNALING_DN,0.467592592592593,0.535287081339713,0.0908241419007155,-0.354347585062618,-0.987856530432794,19,KMT2D|PTPRJ|MAST3|MX1|CD40LG|MFSD6|SIDT1|CAMK1D,0.535287081339713,0.547735618115055,Evaluated,Kras Signaling Dn,FALSE,CD8 NC,Kras Signaling Dn
CD8_NC,HALLMARK_MITOTIC_SPINDLE,4.59051880060098e-07,7.65086466766829e-06,0.674962860011025,-0.508850614416923,-2.00864610399126,107,MYH9|FLNA|SPTBN1|PREX1|PXN|ARHGEF2|MID1IP1|CEP250|SUN2|PPP4R2|SPTAN1|ARHGAP27|SOS1|APC|LATS1|TIAM1|NUMA1|CKAP5|EZR|MAP3K11|PCM1|CSNK1D|ARHGAP5|RABGAP1|CDC27|FLNB|ABR|YWHAE|SMC1A|MYO9B|ARF6|AKAP13|NIN|VCL|EPB41|PCNT|LMNB1|RASA2|DLG1|ARFGEF1|NF1|STK38L|TUBGCP3,7.65086466766829e-06,7.65086466766829e-06,Evaluated,Mitotic Spindle,TRUE,CD8 NC,Mitotic Spindle
CD8_NC,HALLMARK_MTORC1_SIGNALING,0.498456790123457,0.553840877914952,0.066132620475844,0.267810043515585,0.986863140777597,115,PPP1R15A|SEC11A|NAMPT|SERP1|DDIT3|GLRX|IFRD1|PPIA|CXCR4|PSMD13|BTG2|CTSC|LDHA|TPI1|HSPA5|SLC2A3|PDAP1|PRDX1|ENO1|GAPDH|RAB1A|HSP90B1|UFM1|CYB5B|SDF2L1|ATP5MC1|SYTL2|UBE2D3|PGK1|TUBA4A|PPA1|CORO1A|PSMB5|FKBP2|PSMA4|PSMC2|HPRT1|IDI1|CFP|UCHL5|ARPC5L|NFKBIB|GSR|TCEA1|CACYBP|LTA4H|INSIG1,0.553840877914952,0.572938839222364,Evaluated,Mtorc1 Signaling,FALSE,CD8 NC,Mtorc1 Signaling
CD8_NC,HALLMARK_MYC_TARGETS_V2,0.453427065026362,0.535287081339713,0.0774767547848578,0.348806082896435,0.998756622390923,29,DUSP2|PA2G4|CBX3|NOP16|WDR74|DDX18|EXOSC5|MRTO4|NDUFAF4|DCTPP1|NPM1,0.535287081339713,0.54629766870646,Evaluated,Myc Targets V2,FALSE,CD8 NC,Myc Targets V2
CD8_NC,HALLMARK_MYOGENESIS,0.348148148148148,0.471168497874729,0.112843355675562,-0.315337673690015,-1.03370874868708,39,MYH9|TGFB1|SPTAN1|MEF2D|NOTCH1|ABLIM1|AEBP1|AKT2|VIPR1|FLII|SIRT2|TSC2|APP,0.471168497874729,0.452811283671818,Evaluated,Myogenesis,FALSE,CD8 NC,Myogenesis
CD8_NC,HALLMARK_NOTCH_SIGNALING,0.413716814159292,0.517146017699115,0.0952879846194844,-0.415168527537208,-1.03431880619398,13,PRKCA|NOTCH1|ARRB1|FBXW11,0.517146017699115,0.517146017699115,Evaluated,Notch Signaling,FALSE,CD8 NC,Notch Signaling
CD8_NC,HALLMARK_PEROXISOME,0.249174917491749,0.377537753775378,0.108394255853397,0.368306475068136,1.16014891591084,45,FIS1|TSPO|SOD2|HSD17B11|PRDX5|ERCC1|ITGB1BP1|SOD1|GSTK1,0.377537753775378,0.350950588016548,Evaluated,Peroxisome,FALSE,CD8 NC,Peroxisome
CD8_NC,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.436842105263158,0.532734274711168,0.102449405629826,-0.275537346471477,-1.01370067789571,68,CALR|PTEN|MKNK2|CLTC|EIF4E|RIPK1|RPS6KA1|TIAM1|GSK3B|PLCG1|PIKFYVE|MAPK1|LCK|ITPR2|ATF1|SMAD2|PTPN11|TNFRSF1A|PRKCB|TSC2|MYD88,0.532734274711168,0.532734274711168,Evaluated,Pi3k Akt Mtor Signaling,FALSE,CD8 NC,Pi3k Akt Mtor Signaling
CD8_NC,HALLMARK_PROTEIN_SECRETION,0.471052631578947,0.535287081339713,0.0978773277424561,-0.270946539656355,-0.996811119945866,68,IGF2R|COG2|COPB2|CLTC|NAPA|GBF1|AP2B1|SEC22B|ARCN1|TSG101|MAPK1|ADAM10|ATP1A1,0.535287081339713,0.547735618115055,Evaluated,Protein Secretion,FALSE,CD8 NC,Protein Secretion
CD8_NC,HALLMARK_SPERMATOGENESIS,0.824480369515012,0.832962138084633,0.0613026075396207,-0.24974008298921,-0.779219568215713,29,AGFG1|SIRT1|ZC3H14,0.832962138084633,0.876802250615403,Evaluated,Spermatogenesis,FALSE,CD8 NC,Spermatogenesis
CD8_NC,HALLMARK_TGF_BETA_SIGNALING,0.118764845605701,0.212080081438751,0.199915231309662,-0.417662127461421,-1.31596609446546,31,ID3|SPTBN1|SMAD3|TGFB1|NCOR2|NOG|PPM1A|TGFBR1|APC|HDAC1,0.212080081438751,0.201296348484238,Evaluated,Tgf Beta Signaling,FALSE,CD8 NC,Tgf Beta Signaling
CD8_NC,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.798927613941019,0.832216264521895,0.070113215764256,-0.225339163657733,-0.843508419733146,76,EEF2|DCTN1|EDEM1|CALR|SHC1|EIF4E|PREB|CEBPB|NFYB|XPOT,0.832216264521895,0.859061950474214,Evaluated,Unfolded Protein Response,FALSE,CD8 NC,Unfolded Protein Response
CD8_NC,HALLMARK_UV_RESPONSE_DN,0.0143860426433244,0.0395516541467098,0.380730400722792,-0.433532568473708,-1.51631956407459,51,DBP|NEK7|SMAD3|PTEN|FYN|PRKCA|SCAF8|CELF2|MYC|MAPK14|DYRK1A|PHF3|NR1D2|MTA1|RUNX1|TGFBR2|ATP2B4|PRDM2|SYNE1|ADD3|CITED2|NFKB1|RASA2|CDK13|DLG1|ABCC1|NIPBL|SPOP|SIPA1L1,0.0395516541467098,0.0388811963333092,Evaluated,Uv Response Dn,TRUE,CD8 NC,Uv Response Dn
CD8_NC,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.00475125113171026,0.0197968797154594,0.407017918923954,-0.668511264709817,-1.77983209495236,16,AXIN1|NCOR2|MYC|NOTCH1|NUMB|CCND2|CTNNB1|NCSTN|MAML1|TCF7|CUL1,0.0197968797154594,0.0182740428142702,Evaluated,Wnt Beta Catenin Signaling,TRUE,CD8 NC,Wnt Beta Catenin Signaling
