pathway,cell_type,median_LODO_NES,min_LODO_NES,max_LODO_NES,full_NES,full_FDR,direction_concordance,pathway_label
HALLMARK_IL2_STAT5_SIGNALING,CD8_NC,1.08567031390833,-1.13993653672758,1.24267944762208,1.0815973150567,0.455170259293971,0.857142857142857,Il2 Stat5 Signaling
HALLMARK_IL6_JAK_STAT3_SIGNALING,CD4_NC,1.45246963614766,1.24588852928345,1.55872480654591,1.40126143761041,0.105477698178805,1,Il6 Jak Stat3 Signaling
HALLMARK_IL6_JAK_STAT3_SIGNALING,CD8_NC,1.02103282588789,-0.812332762216377,1.22848741226474,1.0945588336964,0.455170259293971,0.857142857142857,Il6 Jak Stat3 Signaling
HALLMARK_INFLAMMATORY_RESPONSE,CD4_NC,1.86608760830719,1.80223627126783,1.96565876079655,1.85854577344603,0.000178851201288038,1,Inflammatory Response
HALLMARK_INFLAMMATORY_RESPONSE,CD8_NC,1.53932311801849,1.12301562525157,1.9043085909098,1.53025217830487,0.0317135880486114,1,Inflammatory Response
HALLMARK_INTERFERON_ALPHA_RESPONSE,CD4_NC,-1.06317294623388,-1.35229518865894,1.02987692798653,-1.03261446408174,0.475583187204421,0.714285714285714,Interferon Alpha Response
HALLMARK_INTERFERON_ALPHA_RESPONSE,CD8_NC,-0.943572353250251,-1.4236885604358,0.971975784103502,-1.05365484111033,0.477213695395514,0.571428571428571,Interferon Alpha Response
HALLMARK_INTERFERON_GAMMA_RESPONSE,CD4_NC,1.26432208122679,1.04358613798407,1.46152215116913,1.20412637118739,0.169491525423729,1,Interferon Gamma Response
HALLMARK_INTERFERON_GAMMA_RESPONSE,CD8_NC,1.16166147317203,-1.07082543263483,1.30214989303017,1.04977128479736,0.477213695395514,0.714285714285714,Interferon Gamma Response
HALLMARK_KRAS_SIGNALING_DN,CD4_NC,-1.22146313466465,-1.2981381995867,1.11759171259354,-1.20405599240542,0.207881417208966,0.857142857142857,Kras Signaling Dn
HALLMARK_KRAS_SIGNALING_DN,CD8_NC,-1.32748123720234,-1.65499232077724,0.904253517258,-0.976943949208046,0.540401896271138,0.714285714285714,Kras Signaling Dn
HALLMARK_KRAS_SIGNALING_UP,CD4_NC,1.60545620608566,1.43674585874492,1.72938242535094,1.5506839258311,0.0085451487441801,1,Kras Signaling Up
HALLMARK_KRAS_SIGNALING_UP,CD8_NC,1.66414829774412,1.13814468509637,1.96296858888693,1.57391526776206,0.0317135880486114,1,Kras Signaling Up
HALLMARK_MITOTIC_SPINDLE,CD4_NC,-2.11258150365067,-2.25591144799673,-2.06178238815034,-2.21193078030537,2.10902815455113e-09,1,Mitotic Spindle
HALLMARK_MITOTIC_SPINDLE,CD8_NC,-2.03370683449972,-2.13199468049195,-1.89353849658825,-2.02109392273077,3.67351504361185e-06,1,Mitotic Spindle
